SEXE,AGE,TAILLE_AGGLOMERATION_NB_HABITANTS,REGION,CSP,SITUATION_FAMILIALE,ENFANT,Q5_1_val_VarFr,Q5_2_val_PopRock,Q5_3_val_RapHipHop,Q5_4_val_Classique,Q5_5_val_Jazz,Q5_6_val_Dance,Q5_7_val_Electro,Q5_8_val_Metal,Q5_9_val_RnB,Q5_10_val_Soul,Q5_11_val_Reggae,Q5_12_val_MusiqueDuMonde,Q5_13_val_Autre
Femme,65+,Moins_100000,Occitanie,Inactif,Célibataire,#NUL!,Variété Française,,,,Jazz,,,,,Soul,,,
Femme,50_64,Plus_100000,Pays-de-la-Loire,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,Jazz,,,,,,,Musiques du monde,
Femme,15_24,Plus_100000,Hauts-de-France,CSP_Moins,En_couple,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,,R&B,,,,
Femme,35_49,Plus_100000,Provence-Alpes-Côte-d'Azur,CSP_Moins,Célibataire,#NUL!,Variété Française,,,Classique,,,,,,,,,
Homme,50_64,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Aucun,Variété Française,,,,Jazz,,,,,,,Musiques du monde,
Femme,35_49,Plus_100000,Occitanie,CSP_Moins,En_couple,Aucun,Variété Française,Pop / Rock,,,,Dance,,,,,,,
Homme,15_24,Moins_100000,Grand-Est,Inactif,Célibataire,Aucun,,,,,,,,,,,,,
Femme,50_64,Moins_100000,Centre-Val de Loire,Inactif,Célibataire,#NUL!,Variété Française,Pop / Rock,,Classique,Jazz,Dance,,,R&B,Soul,Reggae,Musiques du monde,
Femme,50_64,Moins_100000,Nouvelle-Aquitaine,Inactif,Célibataire,#NUL!,Variété Française,Pop / Rock,Rap / Hip-Hop,Classique,Jazz,Dance,Electronique,,R&B,Soul,Reggae,Musiques du monde,Autres genres
Femme,35_49,Moins_100000,Auvergne-Rhône-Alpes,Inactif,En_couple,Un_ou_plus_dans_le_foyer,,,,,,,,,,,,Musiques du monde,
Homme,50_64,Plus_100000,Occitanie,Inactif,En_couple,Aucun,,Pop / Rock,,,,,,,,Soul,,,
Femme,65+,Moins_100000,Grand-Est,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,,Dance,,,,,,Musiques du monde,
Femme,35_49,Plus_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Aucun,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Moins_100000,Occitanie,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,Rap / Hip-Hop,,,,,Métal,R&B,,,Musiques du monde,
Homme,35_49,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,,,Soul,,,Autres genres
Homme,50_64,Plus_100000,Île-de-France,Inactif,Célibataire,#NUL!,Variété Française,,,Classique,Jazz,,,,,,,Musiques du monde,
Homme,50_64,Plus_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Aucun,Variété Française,,,,,,,,,,Reggae,,
Femme,35_49,Plus_100000,Hauts-de-France,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Femme,25_34,Plus_100000,Hauts-de-France,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,,Rap / Hip-Hop,,,,,,,,,,
Femme,65+,Plus_100000,Nouvelle-Aquitaine,Inactif,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Homme,65+,Plus_100000,Bretagne,Inactif,Célibataire,#NUL!,Variété Française,,,Classique,Jazz,,,,,Soul,,,
Femme,35_49,Moins_100000,Auvergne-Rhône-Alpes,Inactif,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,R&B,,,,
Homme,35_49,Moins_100000,Bourgogne-Franche-Comté,CSP_Plus,Célibataire,#NUL!,Variété Française,Pop / Rock,,,,,Electronique,,,,,,
Homme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,Electronique,,,,,,
Femme,35_49,Moins_100000,Centre-Val de Loire,CSP_Plus,Célibataire,#NUL!,Variété Française,,,Classique,,,,,,,,Musiques du monde,Autres genres
Femme,50_64,Moins_100000,Bourgogne-Franche-Comté,CSP_Moins,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Homme,65+,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Homme,50_64,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,,,,,,Dance,,,R&B,,,,Autres genres
Femme,35_49,Plus_100000,Grand-Est,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,Dance,Electronique,Métal,R&B,Soul,,Musiques du monde,
Homme,50_64,Plus_100000,Auvergne-Rhône-Alpes,CSP_Plus,En_couple,Aucun,Variété Française,Pop / Rock,,Classique,Jazz,,Electronique,,,,,Musiques du monde,
Femme,35_49,Plus_100000,Île-de-France,CSP_Moins,Célibataire,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,Dance,Electronique,,,,,Musiques du monde,
Femme,25_34,Plus_100000,Île-de-France,CSP_Plus,Célibataire,#NUL!,,,Rap / Hip-Hop,,Jazz,Dance,,,R&B,Soul,Reggae,Musiques du monde,
Femme,50_64,Plus_100000,Auvergne-Rhône-Alpes,Inactif,En_couple,Aucun,Variété Française,,,,,,,,,,,,
Femme,35_49,Moins_100000,Pays-de-la-Loire,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,Electronique,,,Soul,Reggae,Musiques du monde,
Femme,25_34,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,Variété Française,,Rap / Hip-Hop,,,Dance,,,R&B,,Reggae,,
Femme,25_34,Moins_100000,Pays-de-la-Loire,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,,,,,,Dance,,,R&B,,,,
Femme,65+,Plus_100000,Île-de-France,Inactif,En_couple,Aucun,,,,,,,,,,,,,
Femme,25_34,Plus_100000,Provence-Alpes-Côte-d'Azur,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,,,Jazz,Dance,,,,,,,
Femme,50_64,Plus_100000,Île-de-France,CSP_Moins,Célibataire,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,,,,,,,,,,,
Femme,35_49,Moins_100000,Occitanie,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,,,,,,,,,,,,
Femme,50_64,Plus_100000,Bourgogne-Franche-Comté,CSP_Plus,En_couple,Aucun,,,,,,,,,,,,,
Homme,65+,Plus_100000,Normandie,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,Jazz,,,,,Soul,,,
Homme,50_64,Plus_100000,Île-de-France,CSP_Plus,En_couple,Aucun,Variété Française,,,,,,,,,,,Musiques du monde,
Homme,50_64,Moins_100000,Pays-de-la-Loire,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,,Dance,Electronique,,,,Reggae,Musiques du monde,
